stroke_pressure,pen_lifts,line_spacing,slant_angle,label
54.0695625,200,1.0067226890756302,-83.33861541748047,anxiety
24.66646875,135,1.0,-50.48241424560547,anxiety
65.1578125,56,1.0,87.19772338867188,anxiety
82.294875,241,1.0,73.07134246826172,anxiety
94.5550625,678,1.0,-75.6680679321289,anxiety
71.79259375,345,1.0187074829931972,-88.33160400390625,anxiety
190.20875,1,1.0,-89.75521087646484,anxiety
34.83246875,118,1.0107719928186714,-89.66343688964844,depression
33.4166875,159,1.0,82.4021987915039,depression
44.9235625,386,1.0,80.19647979736328,depression
58.41040625,263,1.0,83.8531723022461,depression
109.2366875,436,1.0,-82.31103515625,depression
54.8961875,355,1.0,89.08135223388672,depression
37.9323125,99,1.0,-65.53651428222656,normal
215.4973125,33,1.0,89.80513000488281,normal
81.0825625,773,1.0309810671256454,89.31353759765625,normal
37.59815625,223,1.032758620689655,-75.68672180175781,normal
24.7126875,232,1.0970695970695972,81.10236358642578,normal
98.155875,305,1.0417391304347825,84.45391845703125,normal
23.715,198,1.129979035639413,-80.70297241210938,normal
55.68509375,281,1.2986425339366516,-89.09799194335938,normal
